login_hour,failed_attempts,ip_count,failure_ratio
22,15,5,0.47
2,8,4,0.63
10,2,1,0.09
15,2,2,0.17
16,0,2,0.01
8,1,1,0.23
19,26,3,0.99
10,1,1,0.22
17,2,2,0.01
10,2,2,0.12
13,1,2,0.16
9,2,1,0.29
15,1,2,0.24
3,9,10,0.56
7,26,2,0.96
4,8,5,0.64
16,1,1,0.21
8,1,1,0.1
17,0,2,0.19
20,0,1,0.23
2,18,1,0.85
20,2,1,0.01
8,2,1,0.01
11,1,2,0.03
8,1,1,0.25
21,49,13,0.95
14,2,2,0.3
17,1,2,0.16
10,2,1,0.2
2,7,5,0.52
8,0,2,0.23
9,2,2,0.27
15,0,2,0.3
13,1,2,0.27
10,2,1,0.23
16,1,1,0.23
17,23,1,0.98
13,0,2,0.13
9,2,1,0.0
5,3,4,0.78
18,0,2,0.03
2,42,8,0.85
3,9,3,0.75
0,8,5,0.4
9,0,1,0.01
8,0,1,0.24
18,46,10,0.81
12,8,11,0.6
17,21,18,0.87
14,2,1,0.04
18,2,1,0.22
9,1,2,0.26
15,2,2,0.01
15,0,1,0.28
10,1,2,0.22
9,2,2,0.07
8,2,2,0.25
20,37,11,0.73
18,2,2,0.27
3,8,3,0.56
13,0,1,0.27
10,2,1,0.17
19,0,1,0.24
11,0,2,0.27
9,1,1,0.01
11,17,1,0.94
11,0,1,0.14
12,1,2,0.22
18,9,9,0.52
14,2,1,0.03
8,50,19,0.73
19,13,9,0.47
16,0,1,0.3
19,1,2,0.27
16,26,3,0.96
0,28,9,0.8
11,1,1,0.2
16,2,1,0.21
8,16,1,0.86
9,1,2,0.26
11,0,1,0.13
10,1,2,0.05
13,1,1,0.25
13,1,1,0.07
16,2,2,0.3
8,0,2,0.01
14,0,1,0.22
17,2,2,0.1
15,0,2,0.25
18,2,2,0.1
9,2,2,0.19
12,2,1,0.24
3,28,15,0.76
3,8,3,0.59
16,1,2,0.01
17,0,1,0.21
1,8,3,0.68
9,0,2,0.15
8,2,2,0.06
4,50,11,0.72
22,12,2,0.86
8,2,1,0.15
13,1,2,0.2
19,7,11,0.45
12,0,2,0.17
10,36,11,0.7
11,1,2,0.15
15,2,2,0.19
1,25,16,0.86
19,1,2,0.07
19,24,15,0.7
19,0,2,0.06
16,1,2,0.06
20,0,2,0.06
19,1,1,0.17
16,2,2,0.14
8,1,2,0.17
9,2,2,0.11
18,2,2,0.08
17,2,1,0.2
8,25,19,0.83
13,14,5,0.5
11,6,15,0.49
20,2,1,0.19
11,1,2,0.08
20,1,2,0.09
17,2,2,0.25
10,1,2,0.05
14,37,13,0.89
9,0,1,0.11
14,2,1,0.27
0,23,1,0.81
15,2,1,0.15
18,2,1,0.0
14,2,1,0.29
18,41,18,0.93
21,19,20,0.76
8,0,2,0.2
15,11,9,0.65
19,1,2,0.12
17,0,2,0.26
11,2,1,0.1
0,50,17,0.89
10,2,2,0.07
9,2,1,0.24
15,1,2,0.14
13,1,2,0.12
17,2,2,0.17
18,1,1,0.12
15,2,2,0.03
17,1,1,0.0
5,3,2,0.65
2,8,4,0.51
8,1,1,0.17
20,2,1,0.11
14,1,1,0.19
9,1,1,0.3
16,2,1,0.14
14,2,1,0.07
19,2,2,0.07
18,14,12,0.57
14,19,2,0.93
17,1,2,0.09
13,1,1,0.07
9,0,2,0.09
18,0,2,0.1
9,2,2,0.17
12,15,10,0.53
3,8,3,0.66
18,1,1,0.19
19,1,2,0.26
13,2,2,0.17
17,0,2,0.12
15,0,2,0.08
14,12,3,0.97
17,0,2,0.0
16,50,14,0.86
13,1,1,0.26
11,1,2,0.19
17,1,2,0.1
19,1,1,0.25
13,2,1,0.25
13,0,1,0.03
11,1,2,0.16
8,1,1,0.06
12,2,1,0.1
0,10,5,0.66
13,0,2,0.25
16,0,2,0.05
17,2,2,0.28
12,0,2,0.16
21,19,8,0.75
19,0,1,0.13
19,13,5,0.46
18,0,2,0.04
8,1,1,0.21
17,38,13,0.83
8,47,13,0.8
14,0,2,0.16
16,2,2,0.25
5,8,2,0.7
10,2,1,0.08
18,0,1,0.05
6,6,14,0.47
10,24,14,0.9
13,1,1,0.27
13,2,2,0.15
20,1,2,0.16
18,16,11,0.88
12,2,2,0.06
9,2,2,0.28
10,15,7,0.43
18,2,2,0.14
5,10,2,0.7
15,0,2,0.09
11,12,14,0.57
15,2,1,0.21
16,18,18,0.7
15,1,2,0.26
19,0,2,0.28
14,1,1,0.06
8,2,2,0.07
17,49,17,0.9
13,2,1,0.16
2,4,3,0.7
15,0,2,0.1
18,39,9,0.71
0,7,5,0.62
19,2,2,0.23
18,2,2,0.05
8,1,2,0.26
3,7,2,0.52
10,1,2,0.16
6,27,1,0.82
19,0,2,0.11
10,16,20,0.76
5,10,2,0.59
18,2,2,0.06
10,2,1,0.05
19,0,2,0.11
16,2,1,0.26
10,1,1,0.28
11,2,2,0.18
13,2,1,0.23
16,2,1,0.29
13,2,2,0.25
12,2,2,0.11
7,5,12,0.55
18,7,15,0.42
8,1,1,0.0
14,0,1,0.11
13,1,1,0.02
20,32,10,0.75
3,18,13,0.85
11,9,5,0.56
11,1,1,0.28
9,0,1,0.08
20,0,2,0.02
8,0,2,0.03
14,1,1,0.0
4,6,4,0.59
4,14,3,0.95
10,1,2,0.21
16,1,1,0.09
16,1,1,0.29
9,12,3,0.91
21,29,13,0.92
14,17,2,0.84
14,20,12,0.81
9,5,15,0.58
8,0,1,0.02
22,14,11,0.66
0,9,2,0.77
15,0,2,0.29
6,12,6,0.58
4,7,3,0.77
17,0,2,0.06
9,2,2,0.14
17,13,15,0.52
11,0,1,0.07
18,0,2,0.26
10,0,2,0.02
13,2,1,0.19
10,0,2,0.19
11,0,1,0.05
9,1,2,0.19
5,8,2,0.62
1,47,20,0.73
18,1,2,0.28
11,0,2,0.04
12,1,2,0.16
14,2,2,0.0
8,1,1,0.28
8,1,2,0.15
18,1,2,0.27
14,2,1,0.05
21,15,19,0.98
8,0,2,0.23
16,0,1,0.25
13,30,2,0.9
15,0,1,0.06
19,0,1,0.1
20,1,2,0.26
16,0,2,0.09
16,2,2,0.11
0,40,14,0.76
3,20,2,0.84
16,9,11,0.4
12,1,2,0.02
18,0,2,0.15
16,0,1,0.06
19,1,2,0.2
19,2,2,0.25
17,1,1,0.16
23,7,9,0.55
15,2,2,0.11
11,11,2,0.97
18,1,2,0.04
0,4,4,0.68
16,1,2,0.0
16,0,1,0.16
9,2,2,0.05
5,3,4,0.74
10,0,2,0.06
15,1,1,0.15
5,15,12,0.52
21,13,2,0.81
13,1,1,0.04
15,1,2,0.15
12,0,2,0.01
20,1,1,0.27
17,1,2,0.01
18,21,3,0.8
13,24,1,0.84
8,1,1,0.13
8,1,1,0.08
18,1,1,0.01
16,2,1,0.06
18,0,1,0.22
18,1,2,0.09
15,1,1,0.2
0,3,2,0.64
8,2,1,0.27
17,1,1,0.28
3,3,3,0.61
14,0,2,0.04
9,2,2,0.29
8,2,2,0.3
17,45,19,0.76
11,2,2,0.27
18,2,2,0.25
5,21,8,0.88
11,0,2,0.23
10,2,1,0.07
14,1,1,0.16
18,1,2,0.16
15,0,2,0.03
8,2,2,0.05
11,1,2,0.15
2,10,2,0.8
22,12,12,0.63
16,0,1,0.12
15,0,1,0.27
16,13,9,0.49
9,0,1,0.03
17,1,2,0.19
18,1,2,0.02
16,13,12,0.5
0,6,5,0.53
16,1,1,0.16
16,1,2,0.24
20,2,2,0.21
13,2,2,0.13
14,1,1,0.01
20,0,1,0.23
0,23,3,0.83
3,7,5,0.57
13,32,18,0.75
19,1,2,0.1
4,9,5,0.76
3,8,5,0.8
12,2,2,0.18
8,37,10,0.88
8,13,3,0.92
19,2,1,0.12
17,2,2,0.27
8,2,2,0.22
16,0,1,0.16
8,1,1,0.2
8,1,1,0.11
10,1,1,0.14
15,1,1,0.13
1,11,1,0.9
16,1,1,0.18
20,0,1,0.07
12,1,2,0.29
10,2,2,0.07
17,2,1,0.15
20,16,8,0.85
13,1,2,0.14
13,1,2,0.11
13,2,2,0.13
20,1,2,0.0
12,1,2,0.26
21,25,3,0.9
13,0,2,0.09
9,2,1,0.04
13,1,2,0.23
15,24,1,0.81
14,32,13,0.84
14,1,2,0.04
3,15,2,0.95
14,2,1,0.19
20,37,13,0.95
14,1,2,0.29
20,0,2,0.22
0,4,2,0.68
18,2,2,0.06
13,1,2,0.02
13,2,1,0.24
11,1,2,0.16
9,14,11,0.41
16,0,2,0.3
14,2,2,0.06
14,0,2,0.12
12,0,1,0.13
18,1,2,0.18
19,0,1,0.25
10,0,1,0.22
16,0,2,0.19
4,7,8,0.6
16,11,2,0.81
9,2,1,0.17
15,2,1,0.24
10,13,14,0.7
16,1,1,0.07
15,2,1,0.2
13,0,2,0.09
15,2,1,0.16
15,1,1,0.08
15,1,1,0.0
19,48,11,0.8
18,1,1,0.09
20,0,2,0.0
22,21,3,0.91
15,1,1,0.21
12,2,2,0.26
11,2,2,0.27
13,0,1,0.12
20,14,3,0.86
10,0,2,0.16
2,25,3,0.98
20,1,1,0.04
8,1,2,0.08
11,0,2,0.21
4,3,3,0.73
18,2,1,0.23
18,0,2,0.2
3,6,2,0.65
9,0,2,0.28
12,1,1,0.28
9,0,2,0.23
10,41,11,0.8
3,4,5,0.52
15,24,2,0.9
1,6,4,0.62
9,2,2,0.15
20,1,2,0.25
16,2,2,0.07
17,0,1,0.04
9,2,1,0.06
8,12,3,0.81
10,1,1,0.04
10,1,1,0.05
18,0,1,0.13
9,2,1,0.15
17,1,1,0.22
1,31,16,0.99
5,3,3,0.55
14,1,1,0.19
17,0,1,0.18
10,2,2,0.29
5,21,3,0.82
23,16,10,0.75
8,1,2,0.23
13,1,1,0.18
1,28,12,0.93
11,0,1,0.3
20,2,2,0.3
14,1,2,0.05
15,6,15,0.66
17,0,2,0.17
11,0,2,0.23
8,2,2,0.23
5,6,3,0.65
20,0,2,0.1
18,0,2,0.1
19,0,2,0.0
20,1,1,0.08
23,50,18,0.78
19,2,1,0.05
11,0,1,0.04
4,7,4,0.59
18,2,1,0.23
11,0,2,0.3
11,2,1,0.04
17,0,2,0.22
13,0,2,0.23
2,43,8,0.99
2,9,12,0.43
13,0,2,0.26
10,0,1,0.15
19,0,1,0.16
12,0,1,0.28
17,42,12,0.9
15,2,2,0.26
17,1,1,0.04
11,8,10,0.42
19,1,1,0.16
9,0,2,0.2
8,2,2,0.27
12,0,1,0.07
3,11,3,0.96
12,0,1,0.02
5,8,3,0.67
15,1,1,0.19
1,8,4,0.76
0,3,3,0.52
15,0,1,0.06
9,1,1,0.22
3,5,3,0.62
20,2,1,0.05
18,0,1,0.11
13,0,2,0.29
14,0,2,0.04
16,0,2,0.12
13,0,2,0.19
2,8,5,0.53
10,0,1,0.3
11,22,19,0.72
17,1,2,0.24
18,0,2,0.1
20,2,1,0.2
16,0,1,0.04
2,49,20,0.95
10,0,2,0.14
20,0,2,0.21
19,2,2,0.14
8,0,1,0.29
3,5,2,0.78
11,10,7,0.58
12,1,1,0.16
8,22,3,0.9
9,2,2,0.07
13,29,1,0.93
11,2,1,0.25
19,2,2,0.0
10,1,2,0.06
17,0,1,0.06
14,0,1,0.12
12,2,2,0.26
8,2,2,0.27
15,6,15,0.54
18,1,2,0.23
21,8,11,0.5
8,1,2,0.15
18,0,2,0.1
14,0,2,0.13
1,49,19,0.83
20,2,2,0.16
21,14,5,0.49
9,1,1,0.02
16,0,1,0.3
14,1,1,0.23
9,1,1,0.26
4,3,5,0.71
16,1,2,0.23
13,0,1,0.29
20,18,8,0.7
12,1,2,0.29
11,0,2,0.27
12,2,1,0.14
9,1,1,0.11
18,2,1,0.18
15,0,1,0.16
16,0,2,0.23
8,10,7,0.66
18,1,1,0.27
1,6,2,0.57
9,0,2,0.25
14,2,1,0.07
10,0,2,0.18
10,0,1,0.19
9,21,1,0.91
4,6,4,0.56
19,18,11,0.8
17,2,2,0.27
15,16,3,0.86
12,1,2,0.01
17,2,1,0.13
14,2,2,0.07
1,6,2,0.62
2,3,4,0.72
2,20,14,0.82
12,0,2,0.24
